message,intent
Quels sont les événements majeurs de la Guerre civile chinoise ?,recherche
Explique-moi la Guerre de la Ligue d'Augsbourg,recherche
Explique-moi une bataille célèbre liée à la Guerre civile centrafricaine,recherche
Quelles sont les réponses du dernier quizz ?,quizz_reponses
Quels pays étaient impliqués dans la Guerre civile russe ?,recherche
Je veux un résumé sur la Guerre civile sierra-léonaise,résumé
Fais-moi une synthèse sur la Guerre civile sierra-léonaise,résumé
Donne-moi les solutions aux questions posées,quizz_reponses
J’aimerais voir les réponses du quizz,quizz_reponses
Donne-moi les solutions aux questions posées,quizz_reponses
Je veux un résumé sur la Guerre du Yom Kippour,résumé
J’aimerais voir les réponses du quizz,quizz_reponses
Je veux un quizz sur la Guerre de Trente Ans,quizz
Fais-moi un quizz sur les Guerres de la Révolution française,quizz
Je veux une fiche de révision sur la Guerre du Yom Kippour,résumé
Affiche-moi les réponses du test,quizz_reponses
Affiche-moi les réponses du test,quizz_reponses
Que s’est-il passé en la Guerre d'Indépendance des États-Unis ?,recherche
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
Dis-moi tout ce que tu sais sur la Guerre de la Ligue de Cambrai,recherche
Quels pays étaient impliqués dans la Guerre du Vietnam ?,recherche
Génère un quizz sur la Guerre de Sept Ans,quizz
Je veux un résumé sur la Guerre de Crimée,résumé
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
Fais-moi une synthèse sur la Guerre d'Irak,résumé
Parle-moi de la Guerre civile sierra-léonaise,recherche
Explique-moi en bref la Guerre de Succession d'Espagne,résumé
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
Raconte-moi en quelques phrases la Guerre d'Algérie,résumé
Explique-moi la Guerre civile syrienne,recherche
J’aimerais un quiz sur les Guerres de la Révolution française,quizz
Pose-moi des questions sur la Guerre des Boers,quizz
Quels sont les faits historiques les plus importants de la Guerre de Dévolution ?,recherche
Test mes connaissances sur la Guerre de Sécession,quizz
J’aimerais voir les réponses du quizz,quizz_reponses
Quelles sont les réponses du dernier quizz ?,quizz_reponses
Explique-moi en bref la Guerre civile libyenne,résumé
Quels sont les événements majeurs de la Guerre d'Indépendance des États-Unis ?,recherche
J’aimerais voir les réponses du quizz,quizz_reponses
Test mes connaissances sur Seconde Guerre mondiale,quizz
Quels sont les événements clés de la Guerre de Succession d'Autriche ?,recherche
Pose-moi des questions sur la Guerre de 1812,quizz
Fais-moi un résumé sur la Guerre d'Irak,résumé
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
Quels sont les empires ayant existé en la Guerre de Sécession ?,recherche
Explique-moi en bref la Guerre du Yom Kippour,résumé
Je veux un quizz sur la Guerre civile centrafricaine,quizz
Quand a commencé la Guerre du Donbass ?,recherche
Explique-moi ce qu'était la Guerre du Haut-Karabagh,recherche
Affiche-moi les réponses du test,quizz_reponses
Fais-moi une synthèse sur la Guerre de la Quadruple-Alliance,résumé
Parle-moi de la Guerre civile éthiopienne,recherche
Quels pays étaient impliqués dans la Guerre d'Espagne ?,recherche
Peux-tu me faire un quizz sur la Guerre de la Ligue d'Augsbourg ?,quizz
Je veux un résumé sur la Guerre civile mozambicaine,résumé
J’aimerais voir les réponses du quizz,quizz_reponses
Quels sont les événements majeurs de la Guerre du Mali ?,recherche
J’aimerais un quiz sur la Guerre d'Indépendance des États-Unis,quizz
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
Génère un quizz sur la Guerre civile syrienne,quizz
Affiche-moi les réponses du test,quizz_reponses
Peux-tu me faire un quizz sur la Guerre des Boers ?,quizz
Quels sont les personnages célèbres de la Guerre de Sept Ans ?,recherche
Quand a eu lieu la Guerre civile centrafricaine ?,recherche
Donne-moi des informations sur la Guerre de Crimée,recherche
Fais-moi un résumé sur la Guerre de Succession d'Autriche,résumé
Je veux un résumé sur la Guerre civile libyenne,résumé
J’aimerais un quiz sur la Guerre de la Ligue de Cambrai,quizz
Donne-moi les solutions aux questions posées,quizz_reponses
Quand a commencé la Guerre d'Algérie ?,recherche
Génère un quizz sur la Guerre du Mali,quizz
Fais-moi une synthèse sur la Guerre civile centrafricaine,résumé
Quels pays étaient impliqués dans la Guerre civile libérienne ?,recherche
Quels sont les faits historiques les plus importants de la Guerre de Hollande ?,recherche
Parle-moi de la Guerre du Tigré,recherche
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
Fais-moi une synthèse sur la Guerre civile yéménite,résumé
Peux-tu me parler d’un événement marquant de la Guerre civile chinoise ?,recherche
Explique-moi en bref la Guerre de Corée,résumé
Peux-tu me faire un quizz sur la Guerre de Hollande ?,quizz
Explique-moi en bref la Guerre des Boers,résumé
Fais-moi une synthèse sur la Guerre d'Irak,résumé
Fais-moi un quizz sur la Guerre de 1812,quizz
Fais-moi un résumé sur la Guerre de Succession d'Autriche,résumé
Je veux une fiche de révision sur la Guerre civile angolaise,résumé
Fais-moi un quizz sur la Guerre d'indépendance irlandaise,quizz
